subject,session,correct_recs,recs,intr,sem,lag,subj,subj_PF
LTP430,9,185,215,30,0.8579051150984828,0.4717749358037751,0.8941373205191112,60.79583966343345
LTP431,5,15,19,4,0.8592057191947425,0.535665981976821,,
LTP431,6,51,58,7,0.8032887054355616,0.5549410778049837,0.8274509803921568,3.8003629764065336
LTP431,7,93,100,7,0.8387614984954425,0.4843052213467222,0.8550538830395908,13.48896551724138
LTP431,8,139,147,8,0.8460769081693218,0.5025454919784983,0.8256636548277732,28.14013605442177
LTP431,9,174,184,10,0.788765757541488,0.5533022272424623,0.8359803928552965,37.96169772256729
LTP433,5,35,96,61,0.8062398081434595,0.6399402010859637,,
LTP433,6,43,116,73,0.7996254402181643,0.591554038888498,0.6903340455698866,5.747485632183908
LTP433,7,44,109,65,0.8645273837578036,0.4525978457901944,0.8825321431675416,7.740588421385637
LTP435,5,17,27,10,0.6338273904604408,0.3842465051965497,,
LTP435,6,29,61,32,0.761211344800159,0.5042683520815525,0.7223788116645259,2.628415300546448
LTP435,7,29,55,26,0.813977368662307,0.5119744382620566,0.7985638317971786,6.408643815201192
LTP436,5,26,42,16,0.7820801974538719,0.5265217578563349,,
LTP436,6,75,101,26,0.8259172071882304,0.5331009900827208,0.6457781627976862,0.8717586044318717
LTP436,7,138,162,24,0.7936850705988111,0.5159452893359778,0.8366990098113921,17.44309986554211
LTP436,8,118,149,31,0.8222020576851856,0.5035771900811109,0.8465056645303873,39.04250559284117
